name,description,imgUrl,price,category
"Nourishing Body Lotion - Protects Dry Skin, Aloe Vera & Winter Cherry",200 ml,https://www.bigbasket.com/media/uploads/p/l/40000416_11-himalaya-nourishing-body-lotion.jpg,1.32,Beauty & Hygiene
Tea Tree Skin Clearing Night Mask,50 g,https://www.bigbasket.com/media/uploads/p/l/40208234_1-biotique-tea-tree-skin-clearing-night-mask.jpg,2.11,Beauty & Hygiene
Ultra Waterproof Liquid Foundation,30 ml,https://www.bigbasket.com/media/uploads/p/l/40138908_1-glamgals-ultra-waterproof-liquid-foundation.jpg,4.49,Beauty & Hygiene
Peppermint & Aloe Vera Soap,125 g,https://www.bigbasket.com/media/uploads/p/l/40165582_3-fizzy-fern-handmade-peppermint-aloe-vera-soap.jpg,2.21,Beauty & Hygiene
"Mama Cica Instabright Peel Pads - Fights Acne, Blemishes, Provides Exfoliation & Brightens Skin",45 pcs,https://www.bigbasket.com/media/uploads/p/l/40241066_1-quench-botanics-mama-cica-instabright-peel-pads-fights-acne-blemishes-provides-exfoliation-brightens-skin.jpg,4.54,Beauty & Hygiene
Canada - Ultime Pro Primerizer Primer + Moisturizer,30 g,https://www.bigbasket.com/media/uploads/p/l/40188786_1-faces-canada-ultime-pro-primerizer-primer-moisturizer.jpg,4.79,Beauty & Hygiene
Activated Bamboo Charcoal Facial Kit,2x60 g,https://www.bigbasket.com/media/uploads/p/l/1221099_1-vlcc-activated-bamboo-charcoal-facial-kit.jpg,4.92,Beauty & Hygiene
"Brightening Vitamin C Foaming Face Wash - With Built-In Brush, For Deep Cleansing",150 ml,https://www.bigbasket.com/media/uploads/p/l/40243515_1-mancode-brightening-vitamin-c-foaming-face-wash-with-built-in-brush-for-deep-cleansing.jpg,2.7,Beauty & Hygiene
"Pantene Hair Fall Shampoo & Conditioner - 2 In 1, Advanced Hairfall Solution",180 ml,https://www.bigbasket.com/media/uploads/p/l/40192782_1-pantene-2-in-1-hairfall-control-shampoo-conditioner.jpg,1.48,Beauty & Hygiene
Conditioner - Skin Logix Redefine Advance Night Repair Serum,25 ml,https://www.bigbasket.com/media/uploads/p/l/30011537_2-richfeel-conditioner-skin-logix-redefine-advance-night-repair-serum.jpg,1.34,Beauty & Hygiene
"9To5 Primer + Matte Perfect Cover Foundation - N340, Neutral Almond",25 ml,https://www.bigbasket.com/media/uploads/p/l/40183367_4-lakme-9to5-primer-matte-perfect-cover-foundation-n340-neutral-almond.jpg,3.55,Beauty & Hygiene
"Sensitive Precision Trimmer - For Face, Underarms, Bikini Line & Eyebrow Trimmer",1 pc,https://www.bigbasket.com/media/uploads/p/l/40223631_1-beautiliss-professional-sensitive-precision-triler-for-face-underarms-bikini-line-eyebrow-triler.jpg,3.52,Beauty & Hygiene
Absolute Hydra Pro Gel Day Creme,50 g,https://www.bigbasket.com/media/uploads/p/l/40183622_4-lakme-absolute-hydra-pro-gel-day-creme.jpg,4.89,Beauty & Hygiene
